song_title,artist,나이,성별,장르,분위기,인원수,상황
12월 32일,별,20대 30대,남,발라드,애절한,혼자,감성충전
12월 32일,신예영,20대 30대,남,발라드,애절한,혼자,감성충전
12월(月),엠씨더맥스 (M.C the MAX),20대 30대,남,발라드,애절한,그룹,고음어필
12월의 기적 (Miracles In December),EXO,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
12월의 드라마 (The Drama Of December),디바,20대 30대,남,발라드,애절한,혼자,감성충전
180도,벤,20대 30대,여,발라드,애절한,혼자,감성충전
1993년,유라 (youra),20대 30대,남,발라드,애절한,혼자,감성충전
1994년 어느 늦은 밤,장혜진,20대 30대,남,발라드,애절한,혼자,감성충전
1999,마크 (MARK),20대 30대,남,발라드,애절한,혼자,감성충전
1TYM,원타임 (1TYM),20대 30대,남,발라드,애절한,혼자,감성충전
1도 없어,Apink (에이핑크),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
1분 1초,AB6IX (에이비식스),20대 30대,남,발라드,애절한,혼자,감성충전
1월,엠씨더맥스 (M.C the MAX),20대 30대,남,발라드,애절한,그룹,고음어필
2002,Anne-Marie,20대 30대,남,발라드,애절한,혼자,감성충전
2015 어리석은 이별,정재욱,20대 30대,남,발라드,우울한,혼자,감성충전
2016,ZIN CHOI,20대 30대,남,발라드,애절한,혼자,감성충전
2018,박재형,20대 30대,남,발라드,애절한,혼자,감성충전
20대가 싫어,High Spirit,20대 30대,남,발라드,애절한,혼자,감성충전
21,Gracie Abrams,20대 30대,남,발라드,애절한,혼자,감성충전
21,Mitch James,20대 30대,남,발라드,애절한,혼자,감성충전
21,딘 (DEAN),20대 30대,남,발라드,애절한,혼자,감성충전
21 (Feat. Ashley Alisha),뎁트,20대 30대,남,발라드,애절한,듀엣,감성충전
219 Intro (Explicit Ver.),Jorjiana,20대 30대,남,발라드,애절한,혼자,감성충전
21세기의 어떤 날,LUCY,20대 30대,남,락,신나는,그룹,분위기 띄우기
22,Taylor Swift,20대 30대,남,발라드,애절한,혼자,감성충전
22,죠지,20대 30대,남,발라드,애절한,혼자,감성충전
23 (Feat. SAM KIM),펀치넬로 (punchnello),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
24,하루 (HARU),20대 30대,남,발라드,애절한,혼자,감성충전
25,나상현씨밴드,20대 30대,남,락,신나는,그룹,분위기 띄우기
25,볼빨간사춘기,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
26,Lauv,20대 30대,남,발라드,애절한,혼자,감성충전
26,윤하,20대 30대,여,발라드,애절한,혼자,감성충전
27살의 고백,윤딴딴,20대 30대,남,발라드,달달,혼자,데이트
281.31km ( To. ),김뮤지엄 (KIMMUSEUM),20대 30대,남,발라드,애절한,혼자,감성충전
29,Brooke Alexx,20대 30대,남,발라드,애절한,혼자,감성충전
29살의 봄,소소한 프로젝트,20대 30대,남,발라드,달달,혼자,데이트
2P'z (Explicit Ver.),Larry June,20대 30대,남,발라드,애절한,혼자,감성충전
3,Britney Spears,20대 30대,남,발라드,애절한,혼자,감성충전
3!4!,룰라 (Roo' Ra),20대 30대,남/여,발라드,애절한,그룹,감성충전
365일,알리 (ALi),20대 30대,여,발라드,애절한,혼자,감성충전
404 (New Era),KiiiKiii (키키),20대 30대,남,발라드,애절한,혼자,감성충전
4월 10일,은가은,20대 30대,남,발라드,애절한,혼자,감성충전
6 To 9 (feat. 로꼬),카더가든,20대 30대,남,발라드,애절한,듀엣,감성충전
"6, 8, 12",Brian McKnight,20대 30대,남,발라드,애절한,혼자,감성충전
60's Cardin,Glen Check,20대 30대,남,발라드,애절한,혼자,감성충전
7 Seas,John OFA Rhee,20대 30대,남,발라드,애절한,혼자,감성충전
70대 미스김,오드리햅반,20대 30대,남,발라드,애절한,혼자,감성충전
7년간의 사랑,규현 (KYUHYUN),20대 30대,남,발라드,달달,혼자,데이트
8282,다비치,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
8시 11분,idntt (아이덴티티),20대 30대,남,발라드,애절한,혼자,감성충전
9 To 5,조이디,20대 30대,남,발라드,애절한,혼자,감성충전
9 to 5,heyden,20대 30대,남,발라드,애절한,혼자,감성충전
9월의 바캉스,스텔라장 (Stella Jang),20대 30대,남,발라드,애절한,혼자,감성충전
A Door,권순관,20대 30대,남,발라드,애절한,혼자,감성충전
A Love of Van Gogh,뎁트,20대 30대,남,발라드,달달,혼자,데이트
A PERFECT WORLD,The Kid LAROI,20대 30대,남,발라드,애절한,혼자,감성충전
A Plea (Explicit Ver.),Flea,20대 30대,남,발라드,애절한,혼자,감성충전
A Point Too Hard To Make,The Cribs,20대 30대,남,발라드,애절한,혼자,감성충전
A Way to Say Goodbye,Pixx,20대 30대,남,발라드,애절한,혼자,감성충전
A to B (Feat. 승희 of OH MY GIRL),AIDEN,20대 30대,남,발라드,애절한,듀엣,감성충전
A-TEEN,세븐틴 (SEVENTEEN),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
ABCD,나연 (TWICE),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
AKIRAMERO (Feat. Kebee),디핵 (D-Hack),20대 30대,남,발라드,애절한,듀엣,감성충전
ALIVE,THE SSYNDROME (더씬드롬),20대 30대,남,발라드,애절한,혼자,감성충전
ALL IN MOTION (feat. Yung Fazo),Colde (콜드),20대 30대,남,R&B,달달,듀엣,데이트
ALL OF MY LIFE,박원,20대 30대,남,발라드,애절한,혼자,감성충전
ALLERGIC TO POLLEN,DaBaby,20대 30대,남,발라드,애절한,혼자,감성충전
ALONE (Explicit Ver.),Nafe Smallz,20대 30대,남,발라드,애절한,혼자,감성충전
ALWAYS,윤미래,20대 30대,남,발라드,애절한,혼자,감성충전
ANTIFRAGILE,LE SSERAFIM (르세라핌),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
APT.,Bruno Mars,20대 30대,남,발라드,애절한,혼자,감성충전
APT.,로제 (ROSÉ)&Bruno Mars,20대 30대,남,발라드,애절한,듀엣,감성충전
ASAP,STAYC (스테이씨),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
AT THE END,이창섭,20대 30대,남,발라드,애절한,혼자,감성충전
ATM (Explicit Ver.),Don Toliver,20대 30대,남,발라드,애절한,혼자,감성충전
ATTITUDE,IVE (아이브),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
About a Breakup (Explicit Ver.),salem ilese,20대 30대,남,발라드,애절한,혼자,감성충전
About the Things You Love,Hennie Hun,20대 30대,남,발라드,달달,혼자,데이트
Abracadabra,브라운아이드걸스,20대 30대,남,발라드,애절한,혼자,감성충전
Act 1. Colorful Lies (feat. Jade),Jaw (죠),20대 30대,남,발라드,애절한,듀엣,감성충전
Addicted Love (Feat. Gist),이수린,20대 30대,남,발라드,달달,듀엣,데이트
Addiction,터치드 (Touched),20대 30대,남,발라드,애절한,혼자,감성충전
Addio,양파,20대 30대,여,발라드,애절한,혼자,감성충전
Afraid Of The Dark (Explicit Ver.),Motionless In White,20대 30대,남,발라드,애절한,혼자,감성충전
After LIKE,IVE (아이브),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
After Love,SLAY (슬레이),20대 30대,남,발라드,달달,혼자,데이트
After School,Weeekly (위클리),20대 30대,남,발라드,애절한,혼자,감성충전
Afterthought,The Band CAMINO,20대 30대,남,락,신나는,그룹,분위기 띄우기
Again,스페이스 A,20대 30대,남,발라드,애절한,혼자,감성충전
Ah-Choo,러블리즈,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Airplane (Feat. 소연 of LABOUM),리얼프로그&강예섬,20대 30대,남,발라드,애절한,듀엣,감성충전
Alibi,XODIAC,20대 30대,남,발라드,애절한,혼자,감성충전
All For Love,Adriana Evans,20대 30대,남,발라드,달달,혼자,데이트
All For You,서인국,20대 30대,남,발라드,애절한,혼자,감성충전
All For You,정은지&서인국,20대 30대,여,발라드,애절한,듀엣,감성충전
All For You,쿨,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
"All I Wanna Do (K) (Feat. Hoody, Loco)",박재범,10대 20대,남,힙합,신나는,듀엣,분위기 띄우기
All I Want for Christmas Is You,Mariah Carey,20대 30대,남,발라드,애절한,혼자,감성충전
All Mine,King Sis,20대 30대,남,발라드,애절한,혼자,감성충전
All My Love To You,Haku (하쿠),20대 30대,남,발라드,달달,혼자,데이트
Almost,Lewis Capaldi,20대 30대,남,발라드,애절한,혼자,감성충전
Alone,Collective Arts (콜렉티브아츠)&김현창,20대 30대,남,발라드,애절한,듀엣,감성충전
Always,터보,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
"And July (feat. DEAN, DJ Friz)",헤이즈 (Heize),20대 30대,여,R&B,달달,듀엣,데이트
Angel Baby,Troye Sivan,20대 30대,남,발라드,애절한,혼자,감성충전
Annie,윤종신&스윗소로우 (SWEET SORROW),20대 30대,남,발라드,애절한,듀엣,감성충전
Another World,이세계아이돌,20대 30대,남,발라드,애절한,혼자,감성충전
Aperture,Harry Styles,20대 30대,남,발라드,애절한,혼자,감성충전
Apxllo,Last Dinosaurs,20대 30대,남,발라드,애절한,혼자,감성충전
Armageddon,aespa,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Art Museum (2am),Cautious Clay,20대 30대,남,발라드,애절한,혼자,감성충전
Aspirin 아스피린 (12 String Guitar Ver.),걸 (G.I.R.L),20대 30대,남,발라드,애절한,혼자,감성충전
At the End of Our Season,니브 (NIve),20대 30대,남,발라드,애절한,혼자,감성충전
Attention,Charlie Puth,20대 30대,남,발라드,애절한,혼자,감성충전
Attention,NewJeans,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Autopilot,ALEXSUCKS,20대 30대,남,발라드,애절한,혼자,감성충전
BABY I (ft.미래),IFCHAN,20대 30대,남,발라드,애절한,듀엣,감성충전
BAD,Chelsea Cutler,20대 30대,남,발라드,애절한,혼자,감성충전
BADA BING (Explicit Ver.),Fredo Bang,20대 30대,남,발라드,애절한,혼자,감성충전
BAE BAE,BIGBANG (빅뱅),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
BANG BANG!,KIIRAS (키라스),20대 30대,남,발라드,애절한,혼자,감성충전
BANGING! (Feat. 다이나믹 듀오),SINCE,20대 30대,남,발라드,애절한,듀엣,감성충전
BBUU!,PLAVE,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
BETELGEUSE,Yuuri,20대 30대,남,발라드,애절한,혼자,감성충전
BIG VOID,실리카겔,20대 30대,남,발라드,애절한,혼자,감성충전
BILLIONAIRE,BABYMONSTER,20대 30대,남,발라드,애절한,혼자,감성충전
BLUE MOON (PROD. GROOVYROOM),효린&창모 (CHANGMO),10대 20대,남,힙합,신나는,듀엣,분위기 띄우기
"BOLERO (Feat. Otis Lim, matt matt)",ONEHUNNNIT,20대 30대,남,발라드,애절한,듀엣,감성충전
BOSS,NCT U,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
BOYS II PLAN,ANDREW,20대 30대,남,발라드,애절한,혼자,감성충전
BRB,김미정,20대 30대,남,발라드,애절한,혼자,감성충전
BREATHE!,Leven Kali,20대 30대,남,발라드,애절한,혼자,감성충전
BRUISE(불씨),8TURN (에잇턴),20대 30대,남,발라드,애절한,혼자,감성충전
BUBBLE POP!,현아,20대 30대,여,발라드,애절한,혼자,감성충전
BUICK TO BENZ (Explicit Ver.),Mozzy,20대 30대,남,발라드,애절한,혼자,감성충전
BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
BURNING UP,MEOVV (미야오),20대 30대,남,발라드,애절한,혼자,감성충전
Baby Baby,포맨 (4MEN),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Baby Blue,Fiji Blue,20대 30대,남,발라드,애절한,혼자,감성충전
Back,인피니트,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Back 2 Back,Fred again..,20대 30대,남,발라드,애절한,혼자,감성충전
Back To Me (Explicit Ver.),The Rose (더 로즈),20대 30대,남,발라드,애절한,혼자,감성충전
Back To You (Explicit Ver.),Peach PRC,20대 30대,남,발라드,애절한,혼자,감성충전
Back to Life,&TEAM,20대 30대,남,발라드,애절한,듀엣,감성충전
Back to the City,Kep1er (케플러),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Backseat Promises,강다니엘,20대 30대,남,발라드,애절한,혼자,감성충전
Backyard (Explicit Ver.),J.I.D,20대 30대,남,발라드,애절한,혼자,감성충전
Bad Apple,Sailor Honeymoon,20대 30대,남,발라드,애절한,혼자,감성충전
Bad Boy,Red Velvet (레드벨벳),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Bad Day,Daniel Powter,20대 30대,남,발라드,애절한,혼자,감성충전
Bad!,KANGHYUK,20대 30대,남,발라드,애절한,혼자,감성충전
Bag Bad Back,RIIZE,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Ballerino (발레리노) (Feat. Ali),리쌍,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Band On The Run (2010 Remaster),Paul McCartney & Wings,20대 30대,남,발라드,애절한,듀엣,감성충전
Bang Bang,Nicki Minaj,20대 30대,남,발라드,애절한,혼자,감성충전
Bang Bang,임영민,20대 30대,남,발라드,애절한,혼자,감성충전
Baptism,Lovejoy,20대 30대,남,발라드,애절한,혼자,감성충전
Bartender,장한나,20대 30대,남,발라드,애절한,혼자,감성충전
Be I,Hebi,20대 30대,남,발라드,애절한,혼자,감성충전
Be My Baby,원더걸스,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Be My Light,이세계아이돌,20대 30대,남,발라드,애절한,혼자,감성충전
Be OK (feat. 배치기),유성은,20대 30대,남,발라드,애절한,듀엣,감성충전
Be Okay (Feat. B JYUN.),타일 (TYLE),20대 30대,남,발라드,애절한,듀엣,감성충전
Beat Yourself Up,Charlie Puth,20대 30대,남,발라드,애절한,혼자,감성충전
Beat-Boxer,NEXZ (넥스지),20대 30대,남,발라드,애절한,혼자,감성충전
Beautiful,Crush,20대 30대,남,R&B,달달,혼자,데이트
Beautiful,Wanna One (워너원),20대 30대,남,발라드,애절한,혼자,감성충전
Beautiful Day,어반자카파,20대 30대,남/여,발라드,애절한,그룹,감성충전
Beautiful Girls,Sean Kingston,20대 30대,남,발라드,애절한,혼자,감성충전
Beautiful Lady (Original ver.),정엽,20대 30대,남,발라드,애절한,혼자,감성충전
Beautiful Nightmares (Explicit Ver.),Gucci Mane,20대 30대,남,발라드,애절한,혼자,감성충전
Because Of You (Album Version),Ne-Yo,20대 30대,남,발라드,애절한,혼자,감성충전
Because of You,Kelly Clarkson,20대 30대,남,발라드,애절한,혼자,감성충전
Become,Hebi,20대 30대,남,발라드,애절한,혼자,감성충전
Bella (Explicit Ver.),Nafeesisboujee,20대 30대,남,발라드,애절한,혼자,감성충전
Best Bye (Explicit Ver.),HOtBoii,20대 30대,남,발라드,애절한,혼자,감성충전
Best Part,DAY6 (데이식스),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Better Babe,태연 (TAEYEON),20대 30대,여,발라드,애절한,혼자,감성충전
Big Thoughts (SOHN Remix),Wafia,20대 30대,남,발라드,애절한,혼자,감성충전
Bite Me (Explicit Ver.),Avril Lavigne,20대 30대,남,발라드,애절한,혼자,감성충전
Bk Love,MC 스나이퍼,20대 30대,남,발라드,달달,혼자,데이트
Bk Love (feat. 이해리 of 다비치),MC 스나이퍼,20대 30대,남,발라드,달달,듀엣,데이트
Blackout (Explicit Ver.),Babyfxce E,20대 30대,남,발라드,애절한,혼자,감성충전
Blame It On The Moon,Magic city hippies,20대 30대,남,발라드,애절한,혼자,감성충전
Blue,Talia Rae,20대 30대,남,발라드,애절한,혼자,감성충전
Blue,V,20대 30대,남,발라드,애절한,혼자,감성충전
Blue,뎁트,20대 30대,남,발라드,애절한,혼자,감성충전
Blue,도겸X승관 (SEVENTEEN),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Blue,백예린 (Yerin Baek),20대 30대,여,발라드,애절한,혼자,감성충전
Blue Garden,Monday Off With Bluesy,20대 30대,남,발라드,애절한,혼자,감성충전
Blue Moon,엔플라잉 (N.Flying),20대 30대,남,락,신나는,그룹,분위기 띄우기
Blue Valentine,NMIXX,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Blue letter,잭킹콩 (JKC),20대 30대,남,발라드,애절한,혼자,감성충전
Blueming,아이유 (IU),20대 30대,여,발라드,애절한,혼자,감성충전
Bluffin',Jack Gray,10대 20대,남,힙합,신나는,혼자,분위기 띄우기
Bluray,Kita Alexander,20대 30대,남,발라드,애절한,혼자,감성충전
Boat,죠지,20대 30대,남,발라드,애절한,혼자,감성충전
Body Language,유노윤호 (U-KNOW),20대 30대,남,발라드,애절한,혼자,감성충전
Bonfire,Peder Elias,20대 30대,남,발라드,애절한,혼자,감성충전
Boom Boom Bass,RIIZE,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Boom Boom Pow (Explicit Ver.),Black Eyed Peas,20대 30대,남,발라드,애절한,혼자,감성충전
Bounce,조용필,20대 30대,남,발라드,애절한,혼자,감성충전
Boys And Girls (feat. Babylon),지코 (ZICO),10대 20대,남,힙합,신나는,듀엣,분위기 띄우기
Brainless (feat. 그냥노창),Monello,20대 30대,남,발라드,애절한,듀엣,감성충전
Brave,Jennifer Lopez,20대 30대,남,발라드,애절한,혼자,감성충전
Break Away,빅마마 (Big Mama),20대 30대,여,발라드,애절한,그룹,감성충전
Break Free,Ariana Grande,20대 30대,남,발라드,애절한,혼자,감성충전
Break Free,SLAY (슬레이),20대 30대,남,발라드,애절한,혼자,감성충전
"Broken (Feat. J.O.Y, suru)",뎁트,20대 30대,남,발라드,애절한,듀엣,감성충전
Bruiseboy,creespy,20대 30대,남,발라드,애절한,혼자,감성충전
Bubble,STAYC (스테이씨),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Buddy,LUCY,20대 30대,남,락,신나는,그룹,분위기 띄우기
Bungee,백현 (BAEKHYUN),20대 30대,남,발라드,애절한,혼자,감성충전
Butter,방탄소년단,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Butterfly,리플리 (RIPLEY),20대 30대,남,발라드,애절한,혼자,감성충전
Butterfly,지세희,20대 30대,남,발라드,애절한,혼자,감성충전
Buzzin',AM8IC,20대 30대,남,발라드,애절한,혼자,감성충전
Bye Bye,임지우 (imzoo),20대 30대,남,발라드,애절한,혼자,감성충전
Bye bye my blue,백예린 (Yerin Baek),20대 30대,여,발라드,애절한,혼자,감성충전
C.O.C (Choice Of Cinderella),권소영,20대 30대,남,발라드,애절한,혼자,감성충전
C4LL (Feat. JAEHA),HD BL4CK,20대 30대,남,발라드,애절한,듀엣,감성충전
CALL ME BABY,EXO,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
CALLIN ME,Taliwhoah,20대 30대,남,발라드,애절한,혼자,감성충전
CAPPUCCINO,규빈(GYUBIN),20대 30대,남,발라드,애절한,혼자,감성충전
CEREMONY,Stray Kids (스트레이 키즈),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
CHAMPION SOUND (Explicit Ver.),Jordan Ward,20대 30대,남,발라드,애절한,혼자,감성충전
CHEER UP,TWICE (트와이스),10대 20대,여,댄스,신나는,그룹,분위기 띄우기
CHRISTIAN,Zior Park,20대 30대,남,발라드,애절한,혼자,감성충전
CLUTCH,미란이 (MIRANI),20대 30대,남,발라드,애절한,혼자,감성충전
COD (prod. KayArchon),Fleeky Bang,20대 30대,남,발라드,애절한,혼자,감성충전
CRACK IN THE GLASS (Explicit Ver.),Aries,20대 30대,남,발라드,애절한,혼자,감성충전
CRASH,Rico Nasty,20대 30대,남,발라드,애절한,혼자,감성충전
CREED,Stray Kids (스트레이 키즈),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
CROWN,루피 (Loopy),20대 30대,남,발라드,애절한,혼자,감성충전
CYNICAL,선미,20대 30대,여,발라드,애절한,혼자,감성충전
Cable Box (Explicit Ver.),Mac Miller,20대 30대,남,발라드,애절한,혼자,감성충전
Call Me,BOYNEXTDOOR,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Call Me Maybe,Carly Rae Jepsen,20대 30대,남,발라드,애절한,혼자,감성충전
Call My Name,JEY,20대 30대,남,발라드,애절한,혼자,감성충전
Call On Me,Daniel Caesar,20대 30대,남,발라드,애절한,혼자,감성충전
Calling U,홍대광,20대 30대,남,발라드,애절한,혼자,감성충전
Calling You (Vocal By nov),백신프로젝트,20대 30대,남,발라드,애절한,혼자,감성충전
Camel,다섯 (DASUTT),20대 30대,남,발라드,애절한,혼자,감성충전
Can You Entertain?,김립 (ARTMS),20대 30대,남,발라드,애절한,혼자,감성충전
Can't Nobody,2NE1,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Candy,NCT DREAM,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Candy (캔디),H.O.T.,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Casualty Of Love,Jessie J,10대 20대,여,댄스,신나는,혼자,분위기 띄우기
Celebrity,아이유 (IU),20대 30대,여,발라드,애절한,혼자,감성충전
Cereal (Feat. ZICO),Crush,20대 30대,남,R&B,달달,듀엣,데이트
Chains of Love,Charli xcx,20대 30대,남,발라드,달달,혼자,데이트
Chandelier,Sia,20대 30대,남,발라드,애절한,혼자,감성충전
Change,조장혁,20대 30대,남,발라드,애절한,혼자,감성충전
Check Me In,Joshua Golden,20대 30대,남,발라드,애절한,혼자,감성충전
Chequered Flag (Feat. 유현 of 드림캐쳐),다미 (드림캐쳐),20대 30대,남,발라드,애절한,듀엣,감성충전
Chk Chk Boom,Stray Kids (스트레이 키즈),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
"Christmas is Coming (Feat. Kelsey Kuan, prettyhappy)",뎁트,20대 30대,남,발라드,애절한,듀엣,감성충전
Chroma Drift,PLAVE,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Chrome Jets,The Smashing Pumpkins,20대 30대,남,발라드,애절한,혼자,감성충전
Chronic,Claire Rosinkranz,20대 30대,남,발라드,애절한,혼자,감성충전
Church,JADE,20대 30대,남,발라드,애절한,혼자,감성충전
Circle,CHEEZE (치즈),20대 30대,남,발라드,애절한,혼자,감성충전
Circular OP.2 (Restored),엠씨더맥스 (M.C the MAX),20대 30대,남,발라드,애절한,그룹,고음어필
City Walls,twenty one pilots,20대 30대,남,발라드,애절한,혼자,감성충전
Cliché,너드커넥션 (Nerd Connection),20대 30대,남,발라드,애절한,혼자,감성충전
Clip,볼빨간사춘기,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Closer (Album Version),Ne-Yo,20대 30대,남,발라드,애절한,혼자,감성충전
Code : 광 (光) (Feat. 조유리),박문치,20대 30대,남,발라드,애절한,듀엣,감성충전
Come Back Home,2NE1,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Come True (feat. 신온유 of 신인류),POW (파우),20대 30대,남,발라드,애절한,듀엣,감성충전
Congratulations,DAY6 (데이식스),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Conundrum (Explicit Ver.),Wale,20대 30대,남,발라드,애절한,혼자,감성충전
Cookie,NewJeans,10대 20대,여,댄스,신나는,그룹,분위기 띄우기
Corduroy Coat,윤현상,20대 30대,남,발라드,애절한,혼자,감성충전
Cotton Candy,네이비쿼카 (NavyQuokka),20대 30대,남,발라드,애절한,혼자,감성충전
Countdown,J.Fla,20대 30대,남,발라드,애절한,혼자,감성충전
Counting Stars (Feat. Beenzino),BE'O (비오),10대 20대,남,힙합,신나는,듀엣,분위기 띄우기
Cowboy Without a Clue,Yumi Zouma,20대 30대,남,발라드,애절한,듀엣,감성충전
Crazy For You,유엔,20대 30대,남,발라드,애절한,혼자,감성충전
Crescendo (크레셴도),AKMU (악뮤),20대 30대,남/여,발라드,애절한,그룹,감성충전
Crime,TRENDZ (트렌드지),20대 30대,남,발라드,애절한,혼자,감성충전
Crown,EXO,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
Crush,Johnny Stimson,20대 30대,남,발라드,애절한,혼자,감성충전
Cry All Month,ThxSoMch,20대 30대,남,발라드,애절한,혼자,감성충전
Cyan,LOKI,20대 30대,남,발라드,애절한,혼자,감성충전
Cyber Lover,터보,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
D-day (Feat. 기리보이),Hoody (후디),20대 30대,여,R&B,달달,듀엣,데이트
D.D.D,더보이즈 (THE BOYZ),10대 20대,남,댄스,신나는,그룹,분위기 띄우기
DANCING ALONE,KiiiKiii (키키),20대 30대,남,발라드,애절한,혼자,감성충전
DD(Drunk Dreaming),FRankly (프랭클리),20대 30대,남,발라드,애절한,혼자,감성충전
DEAD GIRL WALKING (Explicit Ver.),RØRY,20대 30대,남,발라드,애절한,혼자,감성충전
DIAMONDS (Explicit Ver.),MIKOLAS,20대 30대,남,발라드,애절한,혼자,감성충전
DINOSAUR,AKMU (악뮤),20대 30대,남/여,발라드,애절한,그룹,감성충전
"DIRTY BOY (Feat. JAMIE, UWA)",KINO,20대 30대,남,발라드,애절한,듀엣,감성충전
DNA,방탄소년단,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
DO (Feat. 이하이),Padi (페디),20대 30대,남,발라드,애절한,듀엣,감성충전
DOC와 춤을,DJ DOC,10대 20대,남,댄스,신나는,그룹,분위기 띄우기
DON'T KILL THE PARTY (feat. Quavo & Juicy J) (Explicit Ver.),Ty Dolla $ign,20대 30대,남,발라드,애절한,듀엣,감성충전
